epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,10238.1,0.85163,0.49269,0.92127,0.9641,0.97809,0.98903,0.8093,0.64458,0.31476,0.87109,0.00637,0.00637,0.00637
57,10420.5,0.84005,0.48583,0.91528,0.96713,0.97433,0.98842,0.80873,0.64668,0.31314,0.87132,0.006304,0.006304,0.006304
58,10602.1,0.84106,0.48834,0.91683,0.96089,0.97914,0.98872,0.81482,0.64159,0.31136,0.87041,0.006238,0.006238,0.006238
59,10784.8,0.84108,0.48691,0.91596,0.96127,0.97692,0.98854,0.81528,0.63756,0.31008,0.86882,0.006172,0.006172,0.006172
60,10966.9,0.84022,0.48614,0.9162,0.96944,0.9708,0.98991,0.81835,0.62789,0.30662,0.86767,0.006106,0.006106,0.006106
61,11149.7,0.82794,0.48093,0.91494,0.97133,0.97435,0.98963,0.81942,0.62469,0.30415,0.86633,0.00604,0.00604,0.00604
62,11333.4,0.82167,0.48216,0.91488,0.96868,0.97382,0.98918,0.81761,0.62432,0.3044,0.86612,0.005974,0.005974,0.005974
63,11516.6,0.82727,0.4774,0.91323,0.97126,0.97879,0.99038,0.82195,0.61987,0.30045,0.86512,0.005908,0.005908,0.005908
64,11698.2,0.81934,0.47105,0.91038,0.96489,0.98582,0.99029,0.82137,0.62059,0.29902,0.86464,0.005842,0.005842,0.005842
65,11880.1,0.80676,0.46875,0.90681,0.97252,0.97364,0.99012,0.8232,0.61319,0.29703,0.86261,0.005776,0.005776,0.005776
66,12063,0.81839,0.47592,0.91006,0.97557,0.97475,0.99025,0.82422,0.61002,0.29511,0.8623,0.00571,0.00571,0.00571
67,12245.4,0.80233,0.46445,0.90689,0.97076,0.97843,0.99002,0.82868,0.60039,0.2939,0.85968,0.005644,0.005644,0.005644
68,12427.2,0.80908,0.46946,0.90837,0.97519,0.97206,0.98993,0.82961,0.59756,0.29341,0.85932,0.005578,0.005578,0.005578
69,12611.4,0.80417,0.46266,0.90742,0.96795,0.98055,0.98994,0.83052,0.59904,0.2924,0.85933,0.005512,0.005512,0.005512
70,12793.8,0.7991,0.46326,0.90591,0.97315,0.97747,0.98998,0.8308,0.59643,0.29063,0.85893,0.005446,0.005446,0.005446
71,12976.5,0.7994,0.46052,0.90537,0.97545,0.97854,0.9904,0.83051,0.59486,0.2902,0.85801,0.00538,0.00538,0.00538
72,13158.2,0.78802,0.45871,0.90396,0.97171,0.97859,0.98978,0.83026,0.59601,0.28933,0.85795,0.005314,0.005314,0.005314
73,13341.4,0.79266,0.45701,0.90294,0.97479,0.97851,0.99043,0.83506,0.58129,0.28442,0.85498,0.005248,0.005248,0.005248
74,13524.3,0.78398,0.45135,0.90276,0.97414,0.97938,0.99096,0.83919,0.57747,0.28172,0.85395,0.005182,0.005182,0.005182
75,13707.3,0.78159,0.45292,0.9012,0.9741,0.98101,0.99093,0.84074,0.57074,0.27971,0.85247,0.005116,0.005116,0.005116
76,13890.1,0.78079,0.45088,0.89755,0.97382,0.98297,0.99115,0.83792,0.57548,0.27877,0.8534,0.00505,0.00505,0.00505
77,14073.1,0.76851,0.43973,0.89712,0.97238,0.98371,0.99111,0.84065,0.57213,0.27907,0.85234,0.004984,0.004984,0.004984
78,14255.1,0.77379,0.44549,0.89742,0.97862,0.97714,0.9914,0.84142,0.5682,0.27752,0.85147,0.004918,0.004918,0.004918
79,14438.8,0.76638,0.44587,0.898,0.97426,0.98183,0.99161,0.84246,0.56457,0.27663,0.85092,0.004852,0.004852,0.004852
80,14621,0.75889,0.44086,0.89649,0.97556,0.98074,0.99123,0.84287,0.56161,0.27514,0.85024,0.004786,0.004786,0.004786
81,14803.9,0.76747,0.43746,0.89704,0.97248,0.98546,0.99147,0.84451,0.56043,0.2726,0.84959,0.00472,0.00472,0.00472
82,14986.4,0.76148,0.43711,0.89259,0.9751,0.98296,0.99157,0.84396,0.55867,0.27164,0.84898,0.004654,0.004654,0.004654
83,15169.3,0.75824,0.43281,0.89123,0.97426,0.98317,0.99178,0.84475,0.55782,0.27209,0.84862,0.004588,0.004588,0.004588
84,15351.3,0.75054,0.43188,0.89328,0.973,0.98465,0.9918,0.84651,0.55454,0.27078,0.84786,0.004522,0.004522,0.004522
